,STATE,DISTRICT,BLOCK_NAME,LAT,LON,YEAR_OBS,Season,Depth,Depth_Trend,Depth_SMA,Depth_EWMA,Depth_DES,Depth_TES,Depth_ARIMA
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1998,POMRB,5.506666666666668,3.478125,3.1645833333333333,3.3063574272000005,3.014785742993064,3.6728939854177005,5.304315304053816
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1998,PREMON,6.453333333333332,4.10125,3.16875,4.28381445632,3.5365929083856398,4.2483601358038205,5.94161743327
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1998,MONSOON,4.933333333333334,4.399375,3.7875,4.0302886737920005,3.4603482669541883,2.670781976353536,3.1944791283657907
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,1998,POMKH,5.48,4.226875,4.414999999999999,4.3421732042752,3.740568237788056,3.323737026645305,3.9663822444502093
0,MS,Kolhapur,Bavda,16.652083335,73.95416667,1999,POMRB,5.506666666666668,4.07375,4.383749999999999,3.93530392256512,3.5920025574253587,3.642739011081184,4.917287771552318
1,MS,Kolhapur,Bavda,16.652083335,73.95416667,1999,PREMON,6.453333333333332,4.0875,4.0699999999999985,4.159182353539071,3.796645067585015,4.450748183057602,5.8813379036107465
2,MS,Kolhapur,Bavda,16.652083335,73.95416667,1999,MONSOON,4.933333333333334,4.260000000000002,4.0775,3.967509412123444,3.7592347316150714,2.6360076809038993,3.0666374822645985
3,MS,Kolhapur,Bavda,16.652083335,73.95416667,1999,POMKH,5.48,4.648125,4.0975,4.336505647274067,4.074275411261596,3.4293089640810446,3.9653580782249858
0,MS,Kolhapur,Bavda,16.652083335,73.95416667,2000,POMRB,5.506666666666668,4.6450000000000005,4.4225,4.451903388364442,4.288328537532607,3.746869490413384,4.543396258398296
1,MS,Kolhapur,Bavda,16.652083335,73.95416667,2000,PREMON,6.453333333333332,4.414375,4.87375,5.191142033018664,4.973575858161014,4.977584923353532,5.6915857268676335
2,MS,Kolhapur,Bavda,16.652083335,73.95416667,2000,MONSOON,4.933333333333334,4.336875,4.416250000000002,3.8546852198111985,4.298020872333489,3.6930913473449807,3.1852812557445627
3,MS,Kolhapur,Bavda,16.652083335,73.95416667,2000,POMKH,5.48,3.97375,4.4125000000000005,4.26281113188672,4.512789605485435,3.98109967031998,4.159297030463665
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2001,POMRB,5.506666666666668,3.69,4.26125,4.165686679132032,4.453284293559999,4.2041364554407314,4.372783141052247
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2001,PREMON,6.453333333333332,3.794375,3.68625,4.099412007479219,4.37831104195325,5.24298075012246,5.578933799376715
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2001,MONSOON,4.933333333333334,3.94125,3.69375,3.211647204487531,3.7095856707877943,3.146477100812174,3.162713147032347
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2001,POMKH,5.48,4.29125,3.895,4.198988322692518,4.181585614345213,3.620165260277042,4.30877574794935
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2002,POMRB,5.506666666666668,4.859583333333334,3.9875,4.275392993615512,4.25752064533567,4.003834076366022,4.3707792227269815
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2002,PREMON,6.453333333333332,5.017916666666666,4.595,5.137235796169307,4.922177879538106,5.104200875783159,5.600664030927518
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2002,MONSOON,4.933333333333334,5.03,5.1241666666666665,4.681008144368251,4.819342507315094,3.6582955721096257,2.9633770848266705
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2002,POMKH,5.48,4.988333333333333,4.911666666666667,4.74060488662095,4.93636422291867,4.827083792328846,4.436378068765132
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2003,POMRB,5.506666666666668,4.841666666666666,5.148333333333333,4.9790295986392366,5.170798885743809,4.78063216980186,4.326550928612882
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2003,PREMON,6.453333333333332,4.962083333333334,4.828333333333333,5.047417759183542,5.310531412646293,6.064746828359093,5.409742542070135
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2003,MONSOON,4.933333333333334,4.916458333333334,4.855,4.6697839888434585,5.109090332816446,4.0944054431687595,2.8109970882409554
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2003,POMKH,5.48,4.8775,5.069166666666666,5.0765370599727415,5.356045014744794,5.160808017617354,4.608757635597015
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2004,POMRB,5.506666666666668,4.921927083333333,4.76375,4.691922235983645,5.114278766930589,5.261364872550017,4.317629300083674
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2004,PREMON,6.453333333333332,4.751354166666667,4.991249999999999,5.239153341590186,5.434043874322647,6.042021359800035,5.5178496077649095
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2004,MONSOON,4.933333333333334,4.7413541666666665,4.852604166666667,4.562992004954113,4.997937525972006,4.2903485623444935,2.9289076714615856
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2004,POMKH,5.48,4.4913541666666665,4.650104166666665,4.688461869639134,4.96348611345914,5.166378991911638,4.6469427371679
0,MS,Kolhapur,Bavda,16.652083335,73.95416667,2005,POMRB,5.506666666666668,3.939010416666667,4.832604166666666,4.7510771217834815,4.923423822622699,4.9115042820914345,4.453784705241762
1,MS,Kolhapur,Bavda,16.652083335,73.95416667,2005,PREMON,6.453333333333332,3.7120833333333336,4.150104166666666,4.182646273070088,4.464411900336901,5.932921287749784,5.470233066967138
2,MS,Kolhapur,Bavda,16.652083335,73.95416667,2005,MONSOON,4.933333333333334,3.515625,3.7279166666666663,3.2535877638420536,3.6670631175899793,3.4254807764676034,3.082389081058982
3,MS,Kolhapur,Bavda,16.652083335,73.95416667,2005,POMKH,5.48,3.40375,3.696249999999999,3.852152658305232,3.7787764807228528,3.9513086893773366,4.781549936095639
0,MS,Kolhapur,Bavda,16.652083335,73.95416667,2006,POMRB,5.506666666666668,3.769375,3.334999999999998,3.6712915949831393,3.5412432856457223,3.7850217595429463,4.412985960915722
1,MS,Kolhapur,Bavda,16.652083335,73.95416667,2006,PREMON,6.453333333333332,4.0025,3.4724999999999984,3.754774956989884,3.490397613214747,4.439472084857732,5.614443383551722
2,MS,Kolhapur,Bavda,16.652083335,73.95416667,2006,MONSOON,4.933333333333334,4.0012500000000015,4.066249999999998,3.9468649741939306,3.5722358692672147,2.340987186235461,3.205879822762313
3,MS,Kolhapur,Bavda,16.652083335,73.95416667,2006,POMKH,5.48,4.0687500000000005,3.938749999999999,4.064118984516359,3.6710819714604317,3.7970426531400485,4.812453122518097
0,MS,Kolhapur,Bavda,16.652083335,73.95416667,2007,POMRB,5.506666666666668,3.78625,4.063749999999999,3.998471390709815,3.6806839658776873,3.555280076437149,4.507550550754452
1,MS,Kolhapur,Bavda,16.652083335,73.95416667,2007,PREMON,6.453333333333332,3.57125,4.07375,3.967082834425889,3.705402054908676,4.448238157221002,5.399751917130034
2,MS,Kolhapur,Bavda,16.652083335,73.95416667,2007,MONSOON,4.933333333333334,3.779375,3.49875,3.154249700655533,3.185187633206707,2.5809034591684714,2.998168471573329
3,MS,Kolhapur,Bavda,16.652083335,73.95416667,2007,POMKH,5.48,4.133333333333333,3.64375,3.8205498203933197,3.538398263683248,3.408739756683689,4.831708740309369
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2008,POMRB,5.506666666666668,4.5497916666666685,3.915,4.286329892235992,3.930048545119756,3.3914478888336235,4.399346642872832
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2008,PREMON,6.453333333333332,4.722916666666666,4.351666666666667,4.838464602008262,4.4995022715724415,4.582510608211567,5.236106179276871
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2008,MONSOON,4.933333333333334,4.544791666666667,4.747916666666667,4.311078761204957,4.386582803569229,3.201035630144329,3.1886122457254182
3,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2008,POMKH,5.48,4.449999999999998,4.697916666666667,4.4346472567229736,4.571719718722951,4.535639212639438,4.754176023785003
0,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2009,POMRB,5.506666666666668,4.385833333333333,4.391666666666668,4.164788354033785,4.470497622510766,4.385149893448425,4.284539012705522
1,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2009,PREMON,6.453333333333332,4.385833333333333,4.508333333333334,4.952206345753604,5.049642559709486,5.120526806187384,5.0106337961827006
2,MS,Kolhapur,Bavda,16.61527778,73.91259259333334,2009,MONSOON,4.933333333333334,4.699583333333333,4.263333333333334,3.9873238074521615,4.524371229191146,3.718814992086173,3.0255079188588967
